payment_id,invoice_id,customer_name,amount_paid,transaction_fee,payment_method,status,payment_date
PAY-001,INV-001,Acme Global Corp,7316,109.74,UPI,SUCCESS,07-08-2026
PAY-002,INV-002,Acme Global Corp,46728,700.92,Net Banking,SUCCESS,10-08-2026
PAY-003,INV-003,TechCorp Solutions,11446,171.69,Net Banking,SUCCESS,06-08-2026
PAY-004,INV-004,Apex Manufacturing,49088,736.32,UPI,SUCCESS,15-08-2026
PAY-005,INV-005,Nexus Retail Partners,54752,821.28,Net Banking,SUCCESS,03-08-2026
PAY-006,INV-006,Nexus Retail Partners,15222,228.33,UPI,SUCCESS,07-08-2026
PAY-007,INV-007,Acme Global Corp,27494,412.41,UPI,SUCCESS,09-08-2026
PAY-008,INV-008,Acme Global Corp,28674,430.11,Net Banking,SUCCESS,05-08-2026
PAY-009,INV-009,Apex Manufacturing,48380,725.7,Net Banking,SUCCESS,03-08-2026
PAY-010,INV-010,Acme Global Corp,57466,861.99,Credit Card,SUCCESS,05-08-2026
PAY-011,INV-011,Summit Consulting Group,15694,235.41,UPI,SUCCESS,09-08-2026
PAY-012,INV-012,Acme Global Corp,42598,638.97,Net Banking,SUCCESS,13-08-2026
PAY-013,INV-013,BlueSky Technologies,28792,431.88,Net Banking,SUCCESS,07-08-2026
PAY-014,INV-014,Apex Manufacturing,55460,831.9,Credit Card,SUCCESS,04-08-2026
PAY-015,INV-015,Apex Manufacturing,40120,601.8,Net Banking,SUCCESS,08-08-2026
PAY-016,INV-016,BlueSky Technologies,14514,217.71,UPI,SUCCESS,07-08-2026
PAY-017,INV-017,Vanguard Media Group,31742,476.13,Credit Card,SUCCESS,14-08-2026
PAY-018,INV-018,Horizon Health Services,35636,534.54,UPI,SUCCESS,03-08-2026
PAY-019,INV-019,Green Energy Ltd,53690,805.35,Net Banking,SUCCESS,15-08-2026
PAY-020,INV-020,Stellar Logistics,41890,628.35,Net Banking,SUCCESS,11-08-2026
PAY-021,INV-021,Acme Global Corp,47082,706.23,Net Banking,SUCCESS,12-08-2026
PAY-022,INV-022,Nexus Retail Partners,32096,481.44,UPI,SUCCESS,07-08-2026
PAY-023,INV-023,Green Energy Ltd,36462,546.93,Net Banking,SUCCESS,05-08-2026
PAY-024,INV-024,Summit Consulting Group,51920,778.8,Net Banking,SUCCESS,04-08-2026
PAY-025,INV-025,TechCorp Solutions,12626,189.39,UPI,SUCCESS,09-08-2026
PAY-026,INV-026,Vanguard Media Group,10620,159.3,UPI,SUCCESS,06-08-2026
PAY-027,INV-027,BlueSky Technologies,39058,585.87,Net Banking,SUCCESS,06-08-2026
PAY-028,INV-028,Horizon Health Services,51448,771.72,Credit Card,SUCCESS,07-08-2026
PAY-029,INV-029,Horizon Health Services,33158,497.37,UPI,SUCCESS,04-08-2026
PAY-030,INV-030,TechCorp Solutions,41418,621.27,Net Banking,SUCCESS,11-08-2026
PAY-031,INV-031,Acme Global Corp,48616,729.24,UPI,SUCCESS,12-08-2026
PAY-032,INV-032,Summit Consulting Group,10148,152.22,Credit Card,SUCCESS,11-08-2026
PAY-033,INV-033,Horizon Health Services,13806,207.09,UPI,SUCCESS,14-08-2026
PAY-034,INV-034,Apex Manufacturing,11564,173.46,Credit Card,SUCCESS,06-08-2026
PAY-035,INV-035,BlueSky Technologies,58056,870.84,UPI,SUCCESS,02-08-2026
PAY-036,INV-036,Summit Consulting Group,54162,812.43,UPI,SUCCESS,04-08-2026
PAY-037,INV-037,BlueSky Technologies,14278,214.17,Credit Card,SUCCESS,09-08-2026
PAY-038,INV-038,Acme Global Corp,32568,488.52,UPI,SUCCESS,10-08-2026
PAY-039,INV-039,Apex Manufacturing,15930,238.95,Credit Card,SUCCESS,11-08-2026
PAY-040,INV-040,TechCorp Solutions,15812,237.18,Credit Card,SUCCESS,08-08-2026
PAY-041,INV-041,Nexus Retail Partners,31388,470.82,UPI,SUCCESS,13-08-2026
PAY-042,INV-042,Apex Manufacturing,9322,139.83,Net Banking,SUCCESS,11-08-2026
PAY-043,INV-043,TechCorp Solutions,41182,617.73,UPI,SUCCESS,10-08-2026
PAY-044,INV-044,Acme Global Corp,41772,626.58,Credit Card,SUCCESS,04-08-2026
PAY-045,INV-045,Apex Manufacturing,40828,612.42,Net Banking,SUCCESS,11-08-2026
PAY-046,INV-046,Vanguard Media Group,40002,600.03,Credit Card,SUCCESS,12-08-2026
PAY-047,INV-047,Summit Consulting Group,20296,304.44,UPI,SUCCESS,09-08-2026
PAY-048,INV-048,Summit Consulting Group,51212,768.18,Credit Card,SUCCESS,03-08-2026
PAY-049,INV-049,Horizon Health Services,18762,281.43,UPI,SUCCESS,12-08-2026
PAY-050,INV-050,Apex Manufacturing,28202,423.03,Credit Card,SUCCESS,07-08-2026
PAY-051,INV-051,Horizon Health Services,6372,95.58,Net Banking,SUCCESS,14-08-2026
PAY-052,INV-052,Nexus Retail Partners,12862,192.93,Credit Card,SUCCESS,04-08-2026
PAY-053,INV-053,Apex Manufacturing,49206,738.09,Net Banking,SUCCESS,08-08-2026
PAY-054,INV-054,BlueSky Technologies,21004,315.06,Net Banking,SUCCESS,02-08-2026
PAY-055,INV-055,TechCorp Solutions,6018,90.27,Net Banking,SUCCESS,08-08-2026
PAY-056,INV-056,BlueSky Technologies,39176,587.64,UPI,SUCCESS,08-08-2026
PAY-057,INV-057,Green Energy Ltd,38822,582.33,Net Banking,SUCCESS,04-08-2026
PAY-058,INV-058,Green Energy Ltd,8378,125.67,UPI,SUCCESS,08-08-2026
PAY-059,INV-059,Apex Manufacturing,46138,692.07,Net Banking,SUCCESS,05-08-2026
PAY-060,INV-060,Green Energy Ltd,20178,302.67,Credit Card,SUCCESS,05-08-2026
PAY-061,INV-061,Summit Consulting Group,53100,796.5,Credit Card,SUCCESS,09-08-2026
PAY-062,INV-062,Acme Global Corp,28910,433.65,UPI,SUCCESS,05-08-2026
PAY-063,INV-063,Summit Consulting Group,24308,364.62,UPI,SUCCESS,06-08-2026
PAY-064,INV-064,Summit Consulting Group,22656,339.84,Credit Card,SUCCESS,05-08-2026
PAY-065,INV-065,Horizon Health Services,25842,387.63,Credit Card,SUCCESS,02-08-2026
PAY-066,INV-066,Nexus Retail Partners,8142,122.13,Credit Card,SUCCESS,06-08-2026
PAY-067,INV-067,Vanguard Media Group,36698,550.47,Net Banking,SUCCESS,06-08-2026
PAY-068,INV-068,TechCorp Solutions,48616,729.24,Net Banking,SUCCESS,08-08-2026
PAY-069,INV-069,Stellar Logistics,10030,150.45,Net Banking,SUCCESS,14-08-2026
PAY-070,INV-070,Acme Global Corp,49324,739.86,Net Banking,SUCCESS,08-08-2026
PAY-071,INV-071,Stellar Logistics,47908,718.62,UPI,SUCCESS,07-08-2026
PAY-072,INV-072,Stellar Logistics,46728,700.92,Credit Card,SUCCESS,06-08-2026
PAY-073,INV-073,Nexus Retail Partners,18526,277.89,Credit Card,SUCCESS,10-08-2026
PAY-074,INV-074,Apex Manufacturing,36698,550.47,Net Banking,SUCCESS,10-08-2026
PAY-075,INV-075,Horizon Health Services,45902,688.53,UPI,SUCCESS,14-08-2026
PAY-076,INV-076,Nexus Retail Partners,19470,292.05,UPI,SUCCESS,06-08-2026
PAY-077,INV-077,BlueSky Technologies,42716,640.74,Credit Card,SUCCESS,06-08-2026
PAY-078,INV-078,Stellar Logistics,35754,536.31,UPI,SUCCESS,09-08-2026
PAY-079,INV-079,Stellar Logistics,19116,286.74,UPI,SUCCESS,07-08-2026
PAY-080,INV-080,BlueSky Technologies,13924,208.86,Credit Card,SUCCESS,11-08-2026
PAY-081,INV-081,BlueSky Technologies,17420,261.3,Net Banking,SUCCESS,08-08-2026
PAY-082,INV-082,BlueSky Technologies,26270,394.05,Net Banking,SUCCESS,08-08-2026
PAY-083,INV-083,Nexus Retail Partners,20134,302.01,Net Banking,SUCCESS,08-08-2026
PAY-084,INV-084,Nexus Retail Partners,28394,425.91,Net Banking,SUCCESS,08-08-2026
PAY-085,INV-085,BlueSky Technologies,19898,298.47,Net Banking,SUCCESS,08-08-2026
PAY-086,INV-086,Nexus Retail Partners,18408,276.12,Credit Card,SUCCESS,10-08-2026
PAY-087,INV-087,Nexus Retail Partners,15340,230.1,Credit Card,SUCCESS,10-08-2026
PAY-088,INV-088,Summit Consulting Group,16520,247.8,Credit Card,SUCCESS,10-08-2026
PAY-094A,INV-094,Horizon Health Services,16402,246.03,UPI,SUCCESS,12-08-2026
PAY-094B,INV-094,Horizon Health Services,16402,246.03,UPI,SUCCESS,12-08-2026
PAY-095A,INV-095,Stellar Logistics,10266,153.99,UPI,SUCCESS,12-08-2026
PAY-095B,INV-095,Stellar Logistics,10266,153.99,UPI,SUCCESS,12-08-2026
PAY-096A,INV-096,Apex Manufacturing,15694,235.41,UPI,SUCCESS,12-08-2026
PAY-096B,INV-096,Apex Manufacturing,15694,235.41,UPI,SUCCESS,12-08-2026
PAY-097,INV-097,Stellar Logistcs,18762,281.43,Net Banking,SUCCESS,15-08-2026
PAY-098,INV-098,Tech Corp Sol,7670,115.05,Net Banking,SUCCESS,15-08-2026
PAY-099,INV-099,Acme Global,18526,277.89,Net Banking,SUCCESS,15-08-2026
PAY-100,INV-100,Green Energy,7198,107.97,Net Banking,SUCCESS,15-08-2026
PAY-101,INV-101,Nexus Retail,16048,240.72,Net Banking,SUCCESS,15-08-2026
PAY-102,INV-102,Stellar Logistics,11800,177,UPI,SUCCESS,18-08-2026
PAY-103,INV-103,Horizon Health Services,11800,177,UPI,SUCCESS,18-08-2026
PAY-104,INV-104,Horizon Health Services,11800,177,UPI,SUCCESS,18-08-2026
