invoice_id,customer_id,customer_name,amount,tax_rate,tax_amount,total_amount,date
INV-001,CUST-002,Acme Global Corp,6200,0.18,1116,7316,05-08-2026
INV-002,CUST-002,Acme Global Corp,39600,0.18,7128,46728,09-08-2026
INV-003,CUST-001,TechCorp Solutions,9700,0.18,1746,11446,04-08-2026
INV-004,CUST-004,Apex Manufacturing,41600,0.18,7488,49088,11-08-2026
INV-005,CUST-005,Nexus Retail Partners,46400,0.18,8352,54752,01-08-2026
INV-006,CUST-005,Nexus Retail Partners,12900,0.18,2322,15222,04-08-2026
INV-007,CUST-002,Acme Global Corp,23300,0.18,4194,27494,06-08-2026
INV-008,CUST-002,Acme Global Corp,24300,0.18,4374,28674,02-08-2026
INV-009,CUST-004,Apex Manufacturing,41000,0.18,7380,48380,02-08-2026
INV-010,CUST-002,Acme Global Corp,48700,0.18,8766,57466,04-08-2026
INV-011,CUST-006,Summit Consulting Group,13300,0.18,2394,15694,06-08-2026
INV-012,CUST-002,Acme Global Corp,36100,0.18,6498,42598,11-08-2026
INV-013,CUST-008,BlueSky Technologies,24400,0.18,4392,28792,05-08-2026
INV-014,CUST-004,Apex Manufacturing,47000,0.18,8460,55460,01-08-2026
INV-015,CUST-004,Apex Manufacturing,34000,0.18,6120,40120,06-08-2026
INV-016,CUST-008,BlueSky Technologies,12300,0.18,2214,14514,05-08-2026
INV-017,CUST-010,Vanguard Media Group,26900,0.18,4842,31742,10-08-2026
INV-018,CUST-009,Horizon Health Services,30200,0.18,5436,35636,02-08-2026
INV-019,CUST-003,Green Energy Ltd,45500,0.18,8190,53690,11-08-2026
INV-020,CUST-007,Stellar Logistics,35500,0.18,6390,41890,08-08-2026
INV-021,CUST-002,Acme Global Corp,39900,0.18,7182,47082,09-08-2026
INV-022,CUST-005,Nexus Retail Partners,27200,0.18,4896,32096,03-08-2026
INV-023,CUST-003,Green Energy Ltd,30900,0.18,5562,36462,02-08-2026
INV-024,CUST-006,Summit Consulting Group,44000,0.18,7920,51920,03-08-2026
INV-025,CUST-001,TechCorp Solutions,10700,0.18,1926,12626,06-08-2026
INV-026,CUST-010,Vanguard Media Group,9000,0.18,1620,10620,02-08-2026
INV-027,CUST-008,BlueSky Technologies,33100,0.18,5958,39058,03-08-2026
INV-028,CUST-009,Horizon Health Services,43600,0.18,7848,51448,04-08-2026
INV-029,CUST-009,Horizon Health Services,28100,0.18,5058,33158,02-08-2026
INV-030,CUST-001,TechCorp Solutions,35100,0.18,6318,41418,09-08-2026
INV-031,CUST-002,Acme Global Corp,41200,0.18,7416,48616,11-08-2026
INV-032,CUST-006,Summit Consulting Group,8600,0.18,1548,10148,09-08-2026
INV-033,CUST-009,Horizon Health Services,11700,0.18,2106,13806,10-08-2026
INV-034,CUST-004,Apex Manufacturing,9800,0.18,1764,11564,02-08-2026
INV-035,CUST-008,BlueSky Technologies,49200,0.18,8856,58056,01-08-2026
INV-036,CUST-006,Summit Consulting Group,45900,0.18,8262,54162,02-08-2026
INV-037,CUST-008,BlueSky Technologies,12100,0.18,2178,14278,07-08-2026
INV-038,CUST-002,Acme Global Corp,27600,0.18,4968,32568,09-08-2026
INV-039,CUST-004,Apex Manufacturing,13500,0.18,2430,15930,07-08-2026
INV-040,CUST-001,TechCorp Solutions,13400,0.18,2412,15812,07-08-2026
INV-041,CUST-005,Nexus Retail Partners,26600,0.18,4788,31388,09-08-2026
INV-042,CUST-004,Apex Manufacturing,7900,0.18,1422,9322,10-08-2026
INV-043,CUST-001,TechCorp Solutions,34900,0.18,6282,41182,08-08-2026
INV-044,CUST-002,Acme Global Corp,35400,0.18,6372,41772,02-08-2026
INV-045,CUST-004,Apex Manufacturing,34600,0.18,6228,40828,10-08-2026
INV-046,CUST-010,Vanguard Media Group,33900,0.18,6102,40002,09-08-2026
INV-047,CUST-006,Summit Consulting Group,17200,0.18,3096,20296,05-08-2026
INV-048,CUST-006,Summit Consulting Group,43400,0.18,7812,51212,02-08-2026
INV-049,CUST-009,Horizon Health Services,15900,0.18,2862,18762,09-08-2026
INV-050,CUST-004,Apex Manufacturing,23900,0.18,4302,28202,05-08-2026
INV-051,CUST-009,Horizon Health Services,5400,0.18,972,6372,11-08-2026
INV-052,CUST-005,Nexus Retail Partners,10900,0.18,1962,12862,02-08-2026
INV-053,CUST-004,Apex Manufacturing,41700,0.18,7506,49206,06-08-2026
INV-054,CUST-008,BlueSky Technologies,17800,0.18,3204,21004,01-08-2026
INV-055,CUST-001,TechCorp Solutions,5100,0.18,918,6018,06-08-2026
INV-056,CUST-008,BlueSky Technologies,33200,0.18,5976,39176,07-08-2026
INV-057,CUST-003,Green Energy Ltd,32900,0.18,5922,38822,01-08-2026
INV-058,CUST-003,Green Energy Ltd,7100,0.18,1278,8378,05-08-2026
INV-059,CUST-004,Apex Manufacturing,39100,0.18,7038,46138,02-08-2026
INV-060,CUST-003,Green Energy Ltd,17100,0.18,3078,20178,03-08-2026
INV-061,CUST-006,Summit Consulting Group,45000,0.18,8100,53100,07-08-2026
INV-062,CUST-002,Acme Global Corp,24500,0.18,4410,28910,01-08-2026
INV-063,CUST-006,Summit Consulting Group,20600,0.18,3708,24308,04-08-2026
INV-064,CUST-006,Summit Consulting Group,19200,0.18,3456,22656,02-08-2026
INV-065,CUST-009,Horizon Health Services,21900,0.18,3942,25842,01-08-2026
INV-066,CUST-005,Nexus Retail Partners,6900,0.18,1242,8142,02-08-2026
INV-067,CUST-010,Vanguard Media Group,31100,0.18,5598,36698,02-08-2026
INV-068,CUST-001,TechCorp Solutions,41200,0.18,7416,48616,07-08-2026
INV-069,CUST-007,Stellar Logistics,8500,0.18,1530,10030,11-08-2026
INV-070,CUST-002,Acme Global Corp,41800,0.18,7524,49324,05-08-2026
INV-071,CUST-007,Stellar Logistics,40600,0.18,7308,47908,05-08-2026
INV-072,CUST-007,Stellar Logistics,39600,0.18,7128,46728,03-08-2026
INV-073,CUST-005,Nexus Retail Partners,15700,0.18,2826,18526,07-08-2026
INV-074,CUST-004,Apex Manufacturing,31100,0.18,5598,36698,08-08-2026
